Tablica Dynamiczna,Lista Jednokierunkowa, Lista Dwukierunkowa
15,21,28,
16,38,113,
15,33,22,
16,92,29,
15,49,67,
15,22,26,
15,25,92,
16,23,25,
17,92,35,
14,25,61,
16,21,29,
15,25,65,
16,20,23,
14,26,72,
15,20,26,
15,44,96,
15,21,33,
15,81,33,
14,24,64,
15,20,27,
16,38,44,
15,23,22,
14,43,65,
15,21,23,
16,75,39,
15,39,69,
15,21,23,
15,67,31,
15,38,35,
15,23,23,
15,61,33,
17,50,65,
16,29,24,
14,34,54,
14,20,21,
15,25,66,
16,32,26,
16,26,42,
16,24,25,
16,35,34,
15,33,22,
15,25,69,
15,21,21,
15,38,70,
14,21,22,
18,31,80,
15,22,32,
15,34,24,
14,21,22,
14,22,62,
15,20,22,
15,26,74,
14,21,22,
15,24,59,
15,21,21,
15,23,59,
14,21,21,
14,23,79,
17,25,24,
15,23,59,
16,21,23,
15,24,72,
15,22,22,
14,41,56,
14,22,22,
15,24,69,
16,21,23,
15,25,50,
16,20,28,
15,24,51,
15,20,27,
15,25,63,
16,21,26,
16,23,71,
15,21,22,
15,23,70,
18,22,20,
15,28,61,
17,25,25,
16,25,80,
15,22,28,
15,24,73,
15,29,23,
15,25,61,
15,22,22,
15,24,58,
15,30,23,
16,24,63,
15,21,22,
15,25,65,
16,31,28,
14,24,54,
15,21,27,
15,24,53,
15,22,23,
15,25,62,
14,22,22,
15,26,64,
16,23,22,
16,25,56,
15,22,28,
14,24,64,
15,29,26,
15,24,60,
15,21,21,
15,24,52,
15,21,30,
15,35,73,
14,20,22,
17,24,56,
14,22,27,
15,25,52,
15,21,27,
16,29,61,
15,20,21,
15,25,69,
20,21,23,
19,25,56,
15,22,26,
15,25,68,
17,24,25,
14,22,63,
14,21,22,
15,24,76,
14,21,27,
15,23,52,
16,23,25,
18,84,186,
49,68,89,
45,92,139,
35,71,59,
27,108,136,
14,50,55,
18,52,121,
28,39,34,
32,62,148,
20,60,29,
14,24,86,
14,36,30,
14,52,94,
13,32,28,
17,43,92,
15,21,22,
14,27,95,
15,22,37,
15,23,74,
14,20,21,
14,38,71,
15,21,22,
14,39,79,
16,24,25,
14,22,99,
15,22,22,
17,26,75,
15,31,25,
14,34,72,
14,22,21,
15,29,76,
14,22,23,
15,36,72,
15,34,24,
15,38,83,
15,33,22,
14,32,90,
16,22,22,
14,25,63,
15,20,22,
14,46,81,
15,29,24,
16,27,65,
14,24,21,
15,23,75,
16,22,31,
15,25,75,
15,21,21,
16,54,41,
15,20,22,
14,24,70,
15,22,23,
15,23,76,
15,22,23,
16,28,79,
15,22,21,
14,49,47,
15,32,22,
16,37,68,
14,22,21,
15,25,65,
14,21,23,
15,23,62,
15,22,21,
15,43,24,
15,22,30,
15,24,66,
16,21,31,
16,43,77,
15,32,27,
14,32,61,
14,22,31,
15,60,23,
14,22,22,
14,34,75,
15,21,22,
15,26,63,
14,21,22,
14,25,88,
15,21,21,
14,40,44,
14,21,21,
14,26,83,
15,21,22,
15,24,81,
17,25,26,
15,25,67,
15,21,20,
14,47,25,
15,23,24,
14,23,72,
16,21,29,
15,24,71,
15,21,29,
14,22,57,
16,35,23,
16,48,36,
16,34,25,
16,27,70,
16,31,23,
15,36,62,
15,30,21,
15,24,53,
14,22,28,
14,23,79,
15,22,22,
13,23,53,
17,25,25,
15,23,71,
15,21,23,
16,24,66,
15,22,22,
15,24,67,
15,22,22,
15,25,69,
15,21,21,
15,23,54,
15,22,22,
1282,80,112,
15,21,31,
15,25,65,
15,21,30,
15,24,53,
15,21,22,
14,24,53,
15,22,22,
14,23,68,
17,25,35,
15,23,55,
14,23,21,
15,26,58,
15,22,21,
15,25,61,
15,21,22,
14,25,55,
14,21,21,
17,43,76,
15,21,22,
18,43,76,
