Tablica Dynamiczna,Lista Jednokierunkowa, Lista Dwukierunkowa
294572,614477,638417,
59714,1640472,1634876,
137751,2673448,1564574,
67723,1563270,1505527,
254093,902556,793818,
401914,398702,391621,
246697,1352937,1015104,
156336,1193772,1270337,
167447,1151885,1160595,
17077,1746018,1579309,
52522,1520229,1411208,
43403,1612121,1440974,
177298,1197272,1158735,
174291,1088882,1085651,
437752,524970,478528,
391654,317369,256891,
327721,643789,559576,
424605,361371,325038,
135236,1229373,1225071,
163947,1205279,1121909,
70938,1458525,1382988,
258036,884506,852075,
424126,411510,330465,
507094,166504,109866,
190985,1158898,1172236,
339835,630373,562579,
327709,680122,707271,
154344,1160601,1212081,
396948,365571,281913,
404293,415311,351112,
2566,1698562,1622243,
244321,888075,918173,
111677,1335868,1334281,
36031,1592796,1502638,
383190,570668,539063,
78289,1537503,1429179,
431179,202797,139568,
113604,1493887,1405594,
192090,1067456,1082638,
266513,954465,858654,
478544,77503,30482,
424692,206608,140102,
253379,831169,820378,
212435,1136871,1117363,
56598,1522176,1404543,
310891,656656,595205,
313766,634467,598604,
65229,1531727,1481634,
49640,1574296,1507450,
280831,728637,716087,
407433,303940,266378,
185225,1063248,1125394,
183550,1282019,1158224,
25221,1857060,1814256,
178807,1115904,1283273,
6959,1800297,1615528,
339688,586952,611048,
169760,1163031,1213942,
165057,1282205,1315888,
363100,700014,844704,
3324,1866796,1722563,
411783,270768,170610,
462908,26293,7847,
368553,417471,348395,
351000,479897,489444,
6528,1754259,1873916,
454618,108084,55116,
54338,1550298,1429679,
21014,1627180,1523840,
263810,799084,734207,
181739,1159055,1188619,
150583,1244497,1176457,
320167,973444,1655963,
4312,1894974,1733587,
345967,739881,706609,
92455,1549174,1439922,
117895,1414896,1351237,
329604,575452,584268,
65398,1608220,1598336,
277410,837112,837128,
177288,1065588,1066262,
183062,1072326,1087461,
401534,294471,235118,
262591,840131,733450,
458270,77034,35510,
231179,1043033,993058,
410619,26299,7835,
117548,1281237,1264322,
283564,795757,693519,
449875,65172,28464,
420730,362269,299868,
194511,2389238,1347305,
277057,739875,835770,
450357,67210,26480,
348189,475549,446930,
129626,1422522,1384234,
445010,91139,44330,
165189,1326510,1333352,
95020,1629935,1524689,
17490,1743057,1517121,
893,1785733,1652155,
175776,1165048,1075635,
42920,1641408,1458890,
329013,818965,694382,
114002,1564020,1416822,
312987,658179,594881,
56819,1551595,1537644,
195351,1122753,1156269,
452127,78485,35226,
353407,461881,431672,
226262,952079,939439,
315563,648793,631647,
458332,82490,37145,
268365,831709,845360,
59894,1709315,1524834,
365780,486449,416856,
120493,1351859,1439297,
101920,1378383,1400649,
78490,1465819,1489556,
433411,215146,159018,
337952,591297,516178,
10053,1840440,1686014,
234173,929986,936002,
297500,748699,742966,
183945,1090217,1077834,
18941,1679826,1548179,
326664,669742,562750,
332109,649307,682129,
183221,1150725,1174653,
66739,1649549,1591776,
204458,978855,933088,
328607,607169,500031,
467275,117660,60635,
259271,782555,800382,
243867,820260,793643,
431833,348431,288960,
78442,1598646,1469326,
138979,1309520,1202733,
88523,1509727,1440252,
378850,564295,369405,
82502,1454055,1439129,
444112,103869,52980,
221188,1058193,986929,
449363,82732,35686,
209356,1033735,1001726,
318966,609796,512892,
399473,366278,260829,
324781,593681,636344,
152368,1175593,1233687,
331907,597558,574199,
257989,1076596,1141771,
109920,1323462,1279044,
150678,1226374,1234339,
322339,541127,519667,
369866,373891,348238,
418987,336923,295836,
70964,1695707,1399661,
270407,758996,759004,
388521,317126,253705,
294749,692711,683895,
286519,750652,725187,
415015,257691,186308,
59803,1537563,1485012,
275147,850526,856170,
146137,1205017,1185757,
267607,864305,721251,
61902,1499264,1431273,
126084,1429708,1396626,
103809,1485172,1428300,
172014,1156269,1265891,
173573,1221799,1158952,
297444,699334,696626,
351171,511154,596924,
49375,1535710,1490305,
425074,229515,158022,
383841,486484,377532,
380965,429347,326860,
218507,1022518,936366,
324311,572045,525282,
125312,1263862,1220794,
117185,1319693,1509408,
306776,709257,655419,
278200,717983,649498,
212883,1202395,1143715,
313334,753735,662242,
282683,720692,727614,
410612,297487,222829,
469336,197281,113390,
184447,1014728,1023970,
276376,854784,788476,
373857,397335,342305,
85198,1582590,1551413,
166290,1270551,1210829,
287726,809585,708554,
360734,549731,536715,
399334,250774,213149,
170930,1245186,1183128,
70975,1455577,1466374,
350508,518991,484610,
290811,719362,727915,
165666,1223780,1163377,
43838,1696963,1584841,
356649,465273,422471,
236725,829338,783038,
467588,192603,126135,
413224,265743,177169,
486160,96008,41123,
119131,1391028,1367612,
116247,1254012,1257508,
342930,522780,470454,
11192,1631799,1542167,
413717,230362,166571,
1363,1999301,1739222,
240787,1019876,908539,
735063,52975,15704,
235888,977529,992240,
178184,1116959,1029440,
186464,1000575,1038291,
154801,1403820,1331072,
402657,301019,241141,
288391,696650,656513,
409520,279027,205543,
434073,183054,122050,
255260,874943,880499,
299636,751442,736953,
380964,358880,291387,
404279,235085,181393,
253127,841820,848976,
228140,960208,966258,
191336,1074305,1045070,
240275,950977,941465,
363612,452005,389852,
171835,1193085,1172086,
41645,1533322,1494989,
124262,1258557,1252413,
256437,838307,760389,
382075,396498,316356,
59162,1687426,1640851,
117421,1383847,1336167,
55585,1536029,1457239,
102778,1384757,1347227,
136255,1366281,1420860,
274644,811738,702856,
267372,788928,730874,
297641,698658,630003,
327675,481550,420188,
73538,1429409,1445188,
438963,154159,95969,
424444,175896,114664,
290381,668713,662738,
38175,1687303,1665767,
436423,198806,123093,
191655,1025675,988227,
261892,916663,803321,
37005,1615574,1532272,
377203,611702,520752,
407717,250530,223443,
128187,1404239,1314930,
67524,1667419,1606406,
144294,1338806,1397486,
88615,1459176,1344078,
201306,978330,900352,
568846,10831,2861,
419631,224720,162244,
448796,186339,110272,
383758,481836,471210,
453542,33916,12217,
302669,654245,617456,
44779,1677222,1598376,
91029,1526900,1403991,
300691,759456,624677,
62188,1657526,1524346,
419543,230402,170703,
453072,238596,181308,
326170,511178,451854,
229674,1003274,1086838,
231125,945035,924292,
150958,1214764,1178253,
365724,440942,361204,
89131,1404718,1348564,
289679,662299,674995,
149705,2050029,1439063,
219779,988545,972042,
52557,2010081,1736064,
168416,1047278,1050343,
130135,1432581,1374166,
34364,1712654,1575886,
384288,466793,454824,
56347,1503083,1457375,
126021,1377794,1405454,
389984,274671,225598,
294181,716152,743448,
427967,150977,94036,
403854,306436,233290,
15454,1950532,1936957,
172150,1104820,1088611,
315637,715308,701326,
62626,1485402,1425232,
378017,319993,278914,
342470,514148,521625,
134587,1511359,1411447,
134329,1390254,1232271,
367156,446245,384246,
100419,1423960,1316252,
468462,146948,89119,
38177,1669564,1507906,
136756,1251309,1207155,
124238,1517366,1340820,
217664,1266386,1131413,
191012,1024590,1140194,
441868,120814,61454,
112199,1314429,1300858,
188307,1072664,1157397,
216975,1047532,1007848,
208051,942783,967732,
146973,1242936,1245242,
379382,414443,328618,
387592,173928,103702,
143812,1220387,1173975,
69347,1538703,1440892,
143025,1175505,1276503,
218703,984792,904552,
445797,53858,20515,
313978,719241,728046,
295208,770948,757106,
124875,1435475,1407931,
71267,1469592,1424743,
322890,625731,571675,
131047,1242676,1251734,
172340,1077389,1082487,
324699,554824,498166,
403895,511807,406370,
98034,1416275,1432339,
328131,614643,546750,
209855,948871,940823,
28611,1627580,1700375,
419231,342902,317115,
153608,1179858,1356739,
118389,1399007,1417397,
192037,963363,941132,
133393,1283401,1253381,
328093,517641,489530,
269566,758635,754842,
435862,97230,47421,
333688,500967,535058,
388880,601366,607225,
446766,195894,134310,
270184,947306,831298,
59253,1600937,1449594,
126525,1383920,1709287,
260933,878746,859277,
236922,924082,865063,
77882,1469142,1467917,
333938,584437,519831,
338058,464359,430246,
408707,290367,210479,
348768,545678,504896,
197050,988001,976098,
124431,1293170,1286768,
135362,1254904,1261711,
98096,1407045,1334952,
197654,1047106,970330,
267372,774723,743319,
496531,98523,50120,
239037,901543,892414,
337600,578614,525187,
50275,1507570,1499106,
319159,586554,589097,
111558,1308883,1286709,
239665,838236,836934,
73971,1449541,1446933,
79109,1499426,1460215,
335187,546445,481986,
89261,1384058,1365677,
117940,1345202,1315068,
450640,38371,12190,
430779,170530,107926,
373757,534648,494323,
255749,797453,724530,
290858,693116,686473,
212459,1028778,1075227,
366187,514467,401084,
396515,310268,240288,
423273,189898,138089,
423098,203034,143128,
115507,1471201,1329171,
418496,178697,125717,
58139,1559454,1440955,
267802,820943,759787,
457874,41485,14581,
410661,282350,198023,
73397,1457601,1391638,
372739,402571,373119,
173072,1362623,2603475,
332561,505618,441457,
367517,405279,364269,
375222,390419,306478,
348834,597511,475570,
396326,292066,231057,
359188,464166,469039,
198064,1172441,1106755,
235556,980571,1000522,
112521,1562819,1472392,
260100,907295,900590,
195536,986160,987647,
76766,1388395,1414994,
365924,1610060,665025,
134224,1234643,1210480,
334290,598969,587501,
190175,1039161,999751,
455369,71648,26714,
440279,119560,69924,
167281,1216867,1104273,
52060,1589696,1458839,
358710,522723,559390,
168896,1100583,1213006,
320123,557441,532418,
445844,69554,29582,
222504,937025,914484,
233795,975378,939852,
203511,939339,945188,
374459,371131,335044,
457615,44473,18157,
63835,1513717,1442612,
231828,943215,970474,
201627,1153870,1060117,
246760,960622,860791,
504704,3340,1446,
417828,223003,159718,
378802,352756,332579,
303536,637515,570330,
17265,2851056,2169887,
7250,1754466,1643319,
389709,488358,456983,
413976,347752,283590,
382088,430464,377144,
140220,1168932,1184953,
320991,541836,525877,
396432,311864,224229,
377034,391467,339465,
444263,368938,250649,
243356,886791,849646,
454098,159693,110341,
434542,169063,133023,
350654,456894,413421,
10401,1629149,1557656,
429893,339039,285945,
382282,349436,320962,
63500,1480932,1396914,
434838,295400,238259,
10785,1801729,1552164,
311615,650838,560116,
35363,1614566,1487729,
387866,319046,305607,
237474,1056272,1058605,
222821,1174357,971602,
484965,128888,77300,
