Tablica Dynamiczna,Lista Jednokierunkowa, Lista Dwukierunkowa
23858,566,246,
23066,3661,3254,
2509,36912,30654,
1454,37298,31577,
5722,32833,30446,
20197,10574,8478,
477,57032,43466,
4599,31565,28260,
13809,17049,14409,
15728,13191,11348,
21170,5657,5352,
10604,25596,22213,
16067,19863,13632,
10426,24132,20881,
17788,13747,12158,
11804,21406,17728,
2761,33858,31515,
9613,23308,20180,
6504,36769,26664,
5591,28062,24875,
21576,8504,6806,
4233,31468,31956,
10088,23501,20416,
3578,37999,32113,
2308,33294,29961,
13363,22661,15393,
7138,27432,23566,
19442,8475,6996,
13688,16447,14404,
23612,13049,10921,
1326,35368,33202,
3189,33444,29989,
1267,44233,37851,
6832,28259,24166,
24053,2968,2095,
11631,20127,17426,
2894,32578,30511,
24488,4758,4058,
9784,26449,23273,
22123,6811,6230,
1478,35810,33477,
5074,33071,35694,
22874,4164,2853,
4160,31870,28370,
18668,10298,8282,
19200,17201,10958,
10525,23043,20377,
8950,23851,22485,
19886,8672,11821,
20407,7095,6079,
5200,32224,28860,
1046,47232,33930,
12732,18947,16161,
7247,27639,26893,
25856,6399,5961,
25402,2147,1994,
17158,13154,11338,
6212,36544,29433,
3870,31808,28688,
9884,23695,20213,
6752,30865,24366,
18853,21100,18033,
9008,26185,23073,
5881,29974,27283,
6900,28191,24460,
7243,26686,23351,
14662,19415,15750,
17247,15046,10851,
24770,5209,4669,
4938,31542,29694,
10064,22583,18607,
33472,8327,7513,
12785,23457,19549,
18839,12641,9946,
21506,32957,13599,
9212,24836,21629,
16249,24091,19426,
22988,3052,2777,
25778,12309,13491,
1347,35296,31396,
21563,6147,4959,
15964,14507,12731,
6394,28358,24623,
16112,13046,11501,
20962,16154,12441,
2596,36643,35734,
15261,17464,13822,
3219,33927,30974,
17724,12115,9890,
11606,20740,18009,
21584,6423,5435,
10351,23413,19535,
17440,18094,15905,
7670,29806,26759,
2843,32735,30029,
21036,5841,5763,
8795,26274,22052,
10547,22663,19532,
25863,13767,11694,
8134,24849,21071,
24140,6677,5126,
24676,3128,2944,
16511,18327,14588,
15174,18256,15732,
16855,13996,11194,
15172,15961,13188,
23758,2770,2901,
483,36053,33934,
11969,32236,28199,
21144,16255,13172,
7478,36003,30047,
20537,16736,14783,
21057,12300,10268,
21226,18641,16473,
18847,9362,7949,
19565,7693,6806,
20466,8540,7308,
12341,23549,17975,
23424,8274,7175,
19080,17911,15474,
16387,19433,16174,
16878,12330,9908,
21296,5292,4581,
18454,16377,13100,
23045,3573,4091,
10105,28386,24373,
8225,27626,25255,
25031,6271,6055,
1867,34432,31702,
21075,11662,10217,
13583,17785,15024,
13626,17895,15547,
23355,8727,7170,
21270,7087,5570,
17087,19440,15167,
27160,4407,3712,
13372,33770,27646,
14166,25934,24019,
13276,17011,14898,
6058,37046,30357,
6760,27510,24255,
7760,25884,25911,
4754,34208,31310,
20147,13696,9379,
13140,17989,18923,
5072,32310,26411,
22066,6350,5651,
21119,9190,7661,
6274,28718,25393,
24429,5060,5160,
15657,14686,13229,
6990,30317,24521,
22220,7056,6238,
21169,6506,5703,
2604,33863,31494,
22962,6689,5486,
1530,35425,32460,
19288,10333,8703,
20929,7599,5745,
1351,34262,31548,
3463,32752,29995,
24378,4691,3278,
8101,25957,22904,
3997,34706,32795,
19608,13359,11157,
15574,16461,13722,
12741,19889,25461,
13946,17024,16097,
11161,29819,21040,
14190,18634,16028,
11443,30410,33119,
5802,32468,28623,
19633,9097,8416,
5199,29102,26420,
18921,8911,7457,
6414,27616,24037,
24721,2762,1859,
1550,35065,32062,
12175,25257,22081,
18012,10177,9160,
25607,7371,6925,
16190,17760,16726,
11899,20908,17394,
18323,12247,10861,
4375,33519,30498,
11258,21268,27439,
8086,27313,24102,
10311,23099,20424,
18592,10238,8647,
19435,8503,7746,
20919,6623,4921,
28335,5935,5270,
15890,14075,11255,
21795,5144,4536,
14877,16259,13674,
874,35622,32611,
22604,10965,9549,
6563,27026,24309,
15320,16794,14397,
2293,34029,32060,
13427,17487,15287,
17078,11685,10811,
12155,21320,17751,
11997,20112,17625,
19738,9062,6998,
21639,5137,5152,
17502,11845,10540,
21744,5632,6624,
2820,34793,33130,
7562,28139,24613,
8050,26027,23054,
20255,12094,10455,
21876,9971,8638,
5046,35179,30858,
13595,17086,16335,
20880,7254,6875,
5004,29611,26563,
26628,9594,9172,
26420,3985,2742,
28621,959,837,
10444,22779,19689,
2800,32198,30153,
4349,31330,27258,
19811,7969,6367,
19605,12959,10702,
8134,28229,27848,
17320,11499,9382,
14952,15139,13142,
25778,5393,4673,
11538,22679,19291,
19146,8397,11599,
18677,11000,8941,
22049,11742,9902,
15859,14529,12290,
20423,8845,7508,
7854,26538,22875,
7102,27706,24550,
12840,20281,16431,
17069,18832,16007,
14551,21308,17981,
23184,3536,3167,
22974,3732,3519,
13663,17827,15417,
4121,31425,32250,
19456,13335,11734,
12192,19860,17533,
28668,16863,12553,
11570,20168,17042,
23768,1467,1184,
164,37273,33635,
6223,33286,34280,
15460,14999,12353,
13614,16658,14156,
22469,3608,3143,
624,36152,33377,
27115,3836,3317,
18601,11539,12332,
15548,17300,14811,
6655,27590,25788,
38941,1648,1341,
6485,29979,27493,
25190,5932,5591,
14004,27068,22781,
10040,28280,24478,
22499,5093,4096,
462,35707,33612,
18039,12125,9789,
11390,21758,19088,
402,37115,34219,
16459,18084,15892,
24554,2420,1443,
13786,24252,19073,
22401,8124,6927,
23451,6895,5961,
737,35650,35049,
20647,8450,7374,
24230,14835,12039,
22512,7208,5962,
2451,34342,32455,
375,37240,34657,
23107,4658,4120,
9077,26161,21595,
8184,28810,24796,
8043,26031,22841,
17917,12089,9854,
5474,30742,27938,
19789,18965,18134,
