Tablica Dynamiczna,Lista Jednokierunkowa, Lista Dwukierunkowa
27,63500,22,
14,39503,25,
27,35641,21,
15,55315,21,
15,46788,24,
33,44080,22,
15,43086,20,
27,71749,42,
26,33557,18,
17,45260,20,
16,46953,27,
30,40749,22,
17,39774,23,
17,40970,35,
14,33558,18,
27,40071,29,
16,41827,20,
26,43512,20,
15,39028,22,
14,33871,29,
12,35302,23,
13,33887,18,
13,38860,21,
20,38926,20,
20,37465,24,
14,36522,18,
14,35799,19,
27,37832,20,
33,39741,19,
16,43433,26,
26,36459,20,
15,40215,20,
14,36754,22,
14,42044,18,
16,42956,22,
27,36679,23,
18,41430,22,
15,36965,34,
16,37000,18,
27,40738,21,
18,43081,22,
17,37624,34,
15,36164,19,
27,36871,33,
20,37003,25,
27,35728,23,
27,36910,19,
14,39283,24,
14,35652,19,
16,39660,25,
15,37325,31,
30,40770,39,
31,39112,20,
15,37341,37,
13,36766,18,
15,36518,20,
17,49628,20,
15,35644,29,
19,35274,19,
15,37669,33,
27,36964,19,
29,37889,36,
20,37233,20,
27,36022,18,
14,35365,19,
14,38377,35,
14,37853,19,
15,35779,22,
15,36934,20,
14,37149,34,
14,35356,19,
28,36021,33,
15,37052,19,
14,38208,22,
28,36805,18,
14,52390,21,
14,37721,20,
14,36314,32,
26,37126,19,
16,38340,22,
20,37648,19,
14,37060,19,
21,37042,34,
14,37001,23,
14,35578,19,
27,37446,22,
28,40389,18,
15,38525,19,
29,39400,19,
14,35940,32,
14,36474,21,
15,35872,24,
14,36261,20,
13,45619,23,
28,35520,19,
13,38581,35,
14,36482,19,
17,43363,29,
15,37881,19,
13,38401,25,
16,36335,20,
14,37920,23,
28,35468,25,
15,37854,26,
28,35425,23,
16,43321,29,
14,36842,20,
27,37450,52,
16,38849,20,
16,42960,23,
13,37007,28,
32,41956,23,
15,36253,27,
15,37033,36,
26,35497,18,
18,43277,27,
14,37975,19,
14,37454,21,
29,38429,19,
28,36951,35,
29,35630,34,
16,38068,24,
25,37262,18,
28,36212,19,
14,37212,32,
25,37509,34,
14,38410,28,
13,36871,22,
15,37133,19,
29,38020,21,
14,35606,34,
13,36092,23,
15,41458,21,
14,44371,37,
29,44104,20,
31,51132,22,
33,40375,19,
27,35805,22,
16,43693,22,
15,40937,37,
31,44112,36,
13,35657,23,
14,34276,30,
13,34414,18,
28,37521,34,
13,36817,18,
16,43833,20,
15,36639,20,
15,40641,37,
14,36707,19,
16,40352,36,
26,35895,18,
28,38922,20,
17,41742,34,
14,37527,33,
27,36795,19,
27,37321,21,
14,35399,20,
28,36762,24,
14,37067,20,
15,38230,22,
14,38313,20,
13,36837,21,
15,36598,19,
17,39354,20,
27,44252,38,
13,38367,34,
31,41946,22,
15,37799,22,
16,41390,22,
14,37020,25,
27,36065,19,
15,38078,34,
15,36941,23,
17,43493,28,
15,37068,20,
30,39640,20,
27,35811,18,
29,41212,24,
15,39832,38,
14,41789,22,
27,34991,19,
14,39074,20,
27,36221,21,
13,36997,34,
16,36090,21,
14,40453,24,
29,38886,25,
28,36015,20,
29,36052,21,
14,37467,34,
16,41896,25,
14,39131,23,
15,38418,21,
14,36805,22,
15,37965,22,
27,37465,33,
16,41743,25,
14,36893,24,
16,36326,22,
14,36919,22,
28,36151,23,
26,41424,43,
13,37557,20,
14,37300,22,
15,35654,33,
15,37710,22,
15,37037,19,
26,36511,41,
15,39050,22,
14,38128,23,
13,36284,21,
14,44040,25,
14,38398,20,
19,37432,34,
26,36902,22,
14,37879,23,
14,35484,33,
16,42340,21,
28,35875,21,
15,38609,23,
15,38476,22,
28,37863,23,
15,35693,22,
14,37151,20,
14,35993,21,
15,36095,36,
15,40454,23,
27,36928,23,
28,37207,21,
27,36363,22,
28,40198,21,
15,38054,36,
14,36523,20,
15,36927,22,
17,39264,21,
15,37075,21,
14,36816,22,
13,37080,33,
14,39199,21,
18,38809,23,
16,36535,22,
14,38127,21,
13,41300,22,
15,37771,33,
15,37828,20,
15,37387,24,
15,38066,22,
15,38365,22,
15,37161,20,
28,37113,34,
26,38581,20,
17,42920,38,
14,35847,21,
16,37638,21,
28,40075,19,
15,37848,33,
15,38971,21,
14,36873,22,
28,36387,21,
13,37535,21,
14,39143,20,
16,37511,34,
16,38239,22,
16,38677,25,
14,39379,22,
18,43009,23,
16,38660,21,
28,37326,34,
14,37310,22,
14,37687,24,
26,35577,22,
26,37510,22,
21,38548,21,
18,38374,34,
13,38002,21,
28,35681,23,
13,36426,21,
28,47440,24,
13,36181,22,
28,38003,33,
22,37208,24,
18,37233,21,
15,36359,20,
27,36187,21,
15,37647,21,
14,37327,31,
14,36941,21,
28,38104,34,
15,35584,22,
15,36176,22,
21,36104,22,
27,37592,22,
26,36568,21,
27,39082,23,
14,36274,22,
14,38686,22,
28,40959,22,
14,37421,33,
14,37192,21,
14,38370,38,
29,38781,21,
13,37771,21,
14,36857,21,
13,38865,34,
15,42980,21,
14,39420,22,
14,35571,23,
15,39376,21,
14,36956,22,
16,38736,37,
15,36590,21,
15,38473,22,
14,38723,21,
15,39712,22,
29,38011,22,
27,38671,34,
15,37153,32,
14,36902,28,
15,36000,27,
27,37338,21,
19,37053,21,
28,38550,35,
15,36507,21,
28,38854,22,
15,37074,25,
14,37200,20,
28,36869,20,
28,36987,33,
14,36108,21,
14,37531,22,
14,35507,19,
27,38054,21,
28,39068,21,
13,37101,34,
14,37433,21,
15,37328,23,
16,37186,23,
17,39623,22,
27,38402,22,
14,38488,32,
28,37058,20,
29,37734,23,
16,41002,23,
14,37659,22,
29,39665,24,
14,37598,33,
28,36300,21,
14,36940,34,
15,36000,21,
28,37869,23,
31,44103,26,
15,39364,33,
30,40638,20,
15,36904,31,
14,36345,21,
14,38060,21,
14,39806,21,
15,37540,33,
30,44009,22,
14,38410,24,
32,45823,26,
29,39467,22,
13,37130,21,
14,37641,32,
27,36309,21,
27,36156,36,
27,38080,21,
29,40094,23,
28,39856,20,
15,37615,34,
17,42443,25,
30,37479,23,
21,40098,22,
15,37556,22,
28,40049,22,
17,38217,35,
13,36939,20,
14,37017,35,
21,36592,19,
14,36963,23,
21,37780,21,
28,38184,36,
28,38404,22,
14,36818,24,
20,38442,23,
26,37557,21,
14,40361,25,
15,38425,35,
14,37975,19,
27,38044,35,
13,42150,21,
14,37742,21,
27,36871,32,
15,37906,43,
14,37663,43,
13,36121,23,
14,38459,21,
14,43106,37,
14,38294,20,
15,41020,33,
14,38499,23,
14,36775,31,
28,35457,21,
14,37683,21,
20,36755,20,
16,37974,34,
14,35992,21,
28,37293,34,
15,35734,22,
31,38218,25,
14,36974,43,
27,36067,33,
20,37030,22,
29,36610,23,
13,35421,23,
14,36697,22,
28,37254,22,
14,37126,32,
14,39576,23,
29,36468,23,
15,35588,21,
14,37430,20,
13,40139,24,
14,38178,22,
17,43060,25,
14,35901,22,
27,35368,22,
14,37300,22,
28,37525,21,
27,37102,39,
14,38750,22,
15,37260,35,
14,35565,21,
27,37220,31,
28,37776,18,
29,39301,37,
28,37185,20,
14,38191,38,
14,37041,41,
14,40008,19,
14,36017,41,
15,37771,36,
29,36844,20,
28,36683,34,
13,35742,18,
15,38284,19,
27,36586,42,
27,40719,35,
29,37512,19,
23,39075,36,
21,36371,20,
16,39735,19,
21,37357,18,
28,38313,23,
16,36979,42,
14,38026,22,
29,36154,20,
14,37516,19,
14,35979,20,
15,39287,34,
16,42944,22,
16,38098,36,
28,36857,19,
28,37548,20,
14,36055,18,
15,36107,34,
14,37397,19,
15,38124,34,
19,35469,20,
29,36220,18,
16,37980,43,
13,38020,33,
14,37009,20,
16,37827,34,
27,36320,19,
14,38374,42,
28,38505,20,
27,37400,32,
28,36105,20,
15,41056,35,
28,35411,19,
15,37462,29,
15,37246,22,
15,37679,33,
31,42200,43,
28,41342,22,
32,69330,20,
13,37679,19,
28,37469,21,
19,40966,35,
15,37579,20,
28,40927,36,
14,36024,44,
14,37247,22,
17,39984,2269,
15,37025,33,
14,36213,19,
30,36560,40,
13,36467,20,
28,36038,19,
13,36518,19,
15,42023,34,
13,42513,22,
14,35854,42,
25,45442,22,
15,36974,18,
20,38592,20,
26,37116,34,
27,38464,23,
14,37279,22,
28,40724,19,
16,38087,18,
29,40027,19,
14,36901,33,
14,36827,24,
15,36841,30,
16,36158,43,
14,38314,20,
14,35997,29,
14,36845,34,
14,37744,18,
29,37971,44,
13,35695,18,
16,39392,20,
28,36891,19,
27,36994,41,
16,36882,19,
14,37895,45,
31,41218,20,
28,36977,20,
13,47270,21,
26,36145,35,
15,43886,22,
29,36825,33,
27,36692,19,
29,39114,43,
20,45775,22,
15,40281,36,
20,40532,19,
14,38459,44,
14,36389,20,
27,36002,20,
14,35853,18,
15,37360,27,
13,35864,47,
27,40026,23,
14,40820,42,
15,37479,18,
13,37182,30,
29,36747,35,
20,36811,19,
29,36515,23,
13,35530,18,
28,36782,20,
14,36150,18,
22,41686,36,
14,35902,18,
15,43557,38,
16,41083,24,
27,39548,30,
14,36190,18,
15,40148,24,
13,36004,18,
15,37045,22,
28,35502,41,
14,39263,19,
15,37079,21,
14,38069,35,
15,36482,19,
14,38429,35,
14,35525,19,
14,36113,42,
14,38306,19,
13,37495,34,
13,35788,20,
25,39315,22,
20,37680,19,
14,38415,44,
20,37190,20,
16,38270,22,
15,36307,20,
15,38254,34,
16,39581,20,
14,36405,19,
28,36124,19,
29,37360,35,
27,39673,20,
27,40321,36,
32,42487,23,
13,36924,42,
14,37107,20,
15,38273,35,
28,41494,19,
27,37078,35,
14,37352,19,
14,38322,20,
20,38494,40,
13,37945,42,
20,38539,18,
27,38404,36,
21,36758,20,
21,37467,18,
14,35647,18,
14,37674,34,
15,36484,29,
14,38276,44,
21,41721,18,
15,35951,20,
14,36197,42,
14,38681,34,
15,38695,19,
28,38129,34,
15,35639,28,
15,37439,19,
15,42064,22,
15,37821,30,
15,36556,20,
16,38342,36,
14,35716,19,
15,38231,19,
17,45293,21,
31,43768,40,
391,37106,33,
14,40933,35,
14,36322,18,
15,41938,21,
31,39460,20,
26,36106,35,
14,36321,18,
26,35535,23,
25,34742,18,
14,40410,20,
26,36949,28,
26,41253,47,
15,41437,21,
15,36665,23,
15,37887,19,
27,37964,20,
24,36358,19,
30,38674,34,
24,35706,30,
26,39418,42,
16,36982,20,
13,38264,20,
21,37095,44,
15,38268,35,
14,35898,18,
128,37524,35,
20,37069,42,
27,36719,20,
14,38538,44,
17,41432,36,
27,36964,18,
14,36670,21,
15,36244,19,
17,42958,23,
27,36072,28,
14,46116,40,
15,37583,29,
15,36447,47,
26,36316,19,
34,42057,48,
20,37483,28,
15,37345,42,
15,37000,24,
15,41621,47,
27,35395,48,
16,42933,56,
20,37716,29,
14,37665,34,
28,36652,26,
16,42694,29,
15,35258,25,
15,37739,34,
28,36201,23,
28,38493,36,
15,36782,19,
27,37188,22,
14,37790,20,
15,38212,26,
14,36957,26,
14,37037,36,
14,39991,21,
15,38036,28,
21,36546,22,
28,35956,21,
14,42447,25,
13,37368,22,
30,38427,25,
14,46569,28,
14,35603,19,
14,37867,26,
27,39456,20,
14,37167,34,
17,38628,18,
14,36728,26,
16,35507,21,
27,37077,32,
15,38318,19,
27,35965,34,
14,36745,23,
16,38029,24,
15,36959,25,
13,38358,19,
16,37572,21,
18,35949,35,
14,36354,24,
18,37734,22,
16,41535,22,
28,38468,25,
13,36729,25,
14,37109,34,
26,36171,26,
15,37351,26,
16,36447,26,
14,36173,24,
14,36185,20,
28,37558,33,
14,36177,24,
14,42023,35,
15,39634,34,
27,40640,25,
15,81963,42,
15,36909,34,
30,38496,19,
14,37059,22,
15,38878,26,
14,39942,31,
14,39878,26,
30,47385,25,
15,36812,18,
26,37270,23,
16,36364,25,
14,36085,23,
16,40549,22,
32,47748,40,
15,38711,27,
15,38553,35,
20,36422,25,
27,38074,23,
15,38574,24,
21,39663,37,
15,36148,19,
14,41812,43,
20,37140,18,
15,38468,19,
13,36165,19,
17,38583,37,
14,36012,19,
14,38210,27,
21,36960,24,
26,36104,24,
14,36123,20,
28,38294,35,
14,37049,20,
14,37686,20,
15,39094,24,
27,37250,19,
16,39979,22,
15,36915,35,
20,36602,26,
14,38397,24,
15,35295,19,
14,37039,19,
14,38307,20,
15,36941,24,
14,35837,19,
15,37129,22,
29,36674,41,
13,37463,25,
15,39524,20,
14,37467,36,
28,38106,24,
27,37488,25,
27,36859,26,
15,37592,20,
15,38785,20,
15,37067,27,
16,43150,24,
28,39000,26,
28,36375,26,
28,39961,31,
13,36177,24,
14,37502,24,
14,39616,25,
29,39140,24,
28,37915,31,
15,36753,34,
19,35980,25,
15,38309,26,
15,36051,47,
28,36137,23,
29,39398,26,
15,41633,24,
26,36625,19,
16,37447,35,
15,37158,24,
15,37824,36,
15,39046,19,
14,37403,20,
14,36471,18,
14,37382,35,
15,39246,21,
15,37741,22,
28,38393,25,
14,38405,20,
17,49942,20,
14,37029,33,
32,43672,19,
14,40925,24,
20,40671,19,
28,37497,23,
14,37143,19,
14,37881,34,
14,38382,19,
16,38029,30,
14,37004,22,
27,36440,23,
28,39193,25,
15,37852,33,
15,36729,19,
27,42367,25,
25,38089,19,
13,37439,19,
19,39149,32,
26,37456,32,
29,39129,25,
15,37633,35,
15,39893,20,
17,36988,18,
14,35973,30,
12,37536,23,
28,35992,19,
14,40416,34,
18,35638,22,
14,37930,21,
14,36858,24,
27,35970,34,
14,38654,20,
15,38043,34,
29,36026,20,
14,36867,35,
14,37046,19,
16,42986,39,
28,36614,23,
16,36740,22,
20,36470,20,
15,38315,20,
27,38173,20,
14,37406,32,
15,40192,21,
14,38690,21,
