Tablica Dynamiczna,Lista Jednokierunkowa, Lista Dwukierunkowa
104047,65,32,
106258,53,25,
105778,53,23,
105809,56,24,
106690,50,25,
104054,57,26,
103198,59,23,
101098,55,25,
114407,61,24,
101153,63,23,
105554,54,24,
101529,51,26,
105819,67,24,
115300,55,25,
103669,44,22,
111102,110,24,
103575,91,23,
103894,41,22,
108157,53,23,
106496,51,23,
103064,42,23,
106065,43,34,
107985,82,24,
115519,54,23,
108717,75,22,
110706,37,31,
110089,52,23,
111966,67,23,
123237,50,21,
104737,40,22,
108076,40,23,
106940,47,21,
105062,138,63,
108767,50,643,
108994,56,23,
115069,69,22,
106759,50,23,
105462,55,22,
135897,62,28,
115747,66,21,
103933,48,23,
109502,65,22,
108953,115,20,
106738,117,20,
103385,94,22,
106276,48,35,
114665,49,40,
108281,67,21,
104695,55,22,
103813,48,34,
106922,49,21,
107697,50,20,
100021,49,22,
106170,50,31,
105099,50,20,
105395,72,24,
106857,48,22,
103791,49,29,
106353,57,22,
105760,61,20,
102922,62,22,
105806,58,20,
104419,55,21,
127304,83,22,
105514,78,23,
109639,56,20,
109574,70,30,
105438,51,30,
103239,53,22,
129373,94,19,
104413,99,20,
102788,128,21,
103490,94,20,
107805,53,22,
117259,66,21,
102032,47,20,
113629,45,22,
103297,52,21,
102489,59,20,
109896,92,22,
103392,52,35,
108151,62,23,
105807,161,21,
102553,51,22,
103454,63,21,
105666,50,22,
102596,57,20,
126447,73,31,
110146,64,20,
104484,52,21,
106963,53,36,
109357,51,24,
101378,54,22,
106563,49,22,
107078,62,22,
113710,81,20,
105155,57,30,
103283,48,21,
109493,49,21,
106012,54,21,
107020,53,21,
108700,65,23,
104485,55,22,
106791,52,21,
108283,73,21,
103122,66,22,
109076,47,23,
101898,60,21,
103109,48,22,
110925,83,21,
104764,56,21,
104020,72,22,
105623,49,22,
121789,76,22,
109107,51,22,
104268,63,22,
102775,47,31,
105439,80,22,
103449,51,20,
104954,51,31,
104737,53,22,
105961,60,21,
106957,73,20,
108396,54,33,
107397,76,20,
106293,51,29,
114516,46,23,
102385,55,21,
102118,112,23,
106196,115,22,
102406,58,21,
109122,65,37,
110418,56,22,
105366,48,31,
98804,64,22,
104438,96,22,
108733,91,37,
104282,64,34,
104891,71,30,
101189,48,22,
104319,53,36,
129222,45,34,
106412,67,34,
103207,44,61,
111232,75,33,
105292,48,35,
105313,69,34,
103524,46,41,
106208,60,36,
106567,54,34,
103897,53,33,
102590,64,33,
105073,75,34,
102488,46,21,
99944,56,21,
105489,44,21,
106541,58,25,
105296,51,21,
103632,66,21,
106454,54,22,
104764,74,23,
104887,90,33,
106098,88,21,
106480,87,21,
103564,50,25,
106208,43,22,
105959,72,21,
105977,48,32,
112044,90,21,
105103,44,20,
104112,46,21,
108553,120,21,
104208,58,20,
105223,66,22,
112297,60,21,
107347,52,22,
104524,70,22,
108457,41,23,
105526,57,21,
104072,45,29,
110077,46,21,
106398,52,21,
106914,52,27,
102007,64,20,
104274,48,23,
106419,51,32,
107036,82,22,
103163,69,20,
103758,53,22,
133547,82,21,
128742,128,39,
107118,50,22,
105755,71,24,
104354,55,21,
109373,71,21,
115764,52,33,
110036,71,21,
111844,84,20,
105485,50,30,
104098,52,20,
102895,157,21,
106092,84,22,
106516,77,20,
104084,57,20,
106530,70,21,
105496,93,31,
121666,89,33,
108788,85,20,
106658,54,23,
105851,73,34,
103619,52,34,
107093,62,20,
116622,82,22,
106806,47,20,
105746,46,21,
112664,73,22,
105052,51,32,
108725,99,23,
106106,92,24,
105700,49,31,
104544,86,20,
106752,47,21,
108235,42,24,
106082,53,23,
100575,56,22,
105059,50,21,
102808,68,20,
110831,57,22,
106719,59,21,
120661,55,25,
106079,53,22,
103652,67,21,
120361,89,23,
104093,50,21,
104266,64,20,
109555,54,23,
104521,129,21,
103789,47,31,
106577,46,20,
116631,55,22,
104943,98,21,
104057,106,21,
117061,52,21,
107105,63,21,
109751,58,20,
104729,51,31,
122963,53,24,
105006,54,30,
104851,64,21,
104966,63,20,
108860,54,22,
107202,51,23,
106528,48,21,
106958,50,31,
108079,75,22,
101582,49,19,
150751,89,28,
118104,51,23,
121073,90,26,
103700,121,21,
109471,62,21,
109044,61,29,
107156,79,20,
103956,55,21,
108822,48,22,
104466,56,21,
105458,59,22,
104836,57,20,
103460,138,21,
103329,85,22,
103035,47,21,
121082,53,35,
114985,60,23,
102613,78,21,
114197,54,37,
103284,52,21,
105367,48,33,
108880,66,22,
106181,48,21,
120270,46,24,
109998,63,19,
101063,53,20,
103970,47,21,
106375,52,21,
107641,79,21,
102845,52,21,
105158,59,20,
104415,63,32,
101901,46,21,
102157,110,20,
106248,71,22,
107748,77,31,
102739,146,21,
103871,46,23,
103160,51,19,
106230,53,21,
103535,49,20,
105529,63,35,
132068,66,29,
117513,53,23,
103726,48,20,
131647,114,21,
106463,68,21,
106973,52,21,
103838,71,21,
107322,62,20,
112332,126,22,
105502,181,42,
105011,93,54,
104968,101,29,
96323,52,60,
104742,91,34,
103296,44,21,
103497,81,20,
106575,43,24,
101638,37,32,
103503,42,31,
106345,43,20,
105510,48,21,
108042,62,20,
109373,62,22,
103307,78,22,
108151,39,23,
109660,53,22,
103845,49,21,
